Nome,Latitude,Longitude
BLANCO,9.21138171929,45.4768167341
DUKE RESTAURANT,9.18949569257,45.4611544421
AL PICCOLO RISTORO,9.20195700304,45.4368883087
KARAOKE BAOLIJIN,9.1751575031,45.4812631659
CHATULLE,9.16010836137974,45.4863311549973
TEATRO PRINCIPE,9.19378393067,45.4507985529
BASE MILANO,9.1625336832,45.4518131915
PIGALLE,9.25170580834,45.4517025966
BALERA DELLORTICA,9.24057771393,45.4704120065
APOLLO CLUB MILANO,9.17499532629,45.4472036152
AL 2CENTO,9.12373375262,45.5003990315
CARLO PALACE,9.23644344338,45.5078058073
FOCA LOCA,9.19153079935,45.4612676413
BULLONA,9.16075715072,45.4861272708
GOLD PRIVE',9.18267326746,45.4607987305
ROCK 'N ROLL,9.20782240181,45.4924448979
APOPHIS,9.19602034698,45.4626321586
BAR MAGENTA,9.1756306,45.4656981
